crew_name,id_movie
Adam Wingard,"[44950, 84348, 87436, 159117, 83899, 241848, 87737, 27671, 351211]"
Adam Yauch,"[25150, 30106, 62934]"
Adamo P. Cultraro,[70008]
Ademir Kenović,"[37266, 49807]"
Adi Lavy,[100532]
Adil El Arbi,"[356626, 290930]"
Adilkhan Yerzhanov,[272264]
Adina Mutar,[224098]
Adirley Queirós,[256959]
Adisorn Tresirikasem,"[72733, 18486]"
Aditya Bhattacharya,[159636]
Aditya Chopra,"[19404, 14072, 11518]"
Aditya Sarpotdar,[322039]
Adolf Winkelmann,[177979]
Adolfo Aristarain,"[32546, 43429, 43432, 32635]"
Adolfo Martínez Pérez,[437031]
Adolfo Padovan,[70512]
Adoor Gopalakrishnan,"[126969, 169364, 411822]"
Adri Schrover,[4134]
Adriaan Ditvoorst,[268853]
Adrian Brunel,[47197]
Adrian Buitenhuis,[450945]
Adrian Dexter,[382523]
Adrian Edmondson,[10482]
Adrian Grenier,[54994]
Adrian Grunberg,[80389]
Adrian Hoven,[39931]
Adrian Kwan,[332980]
Adrian Lyne,"[9769, 4478, 535, 10998, 2291, 10068, 32020, 2251]"
Adrian Maben,[25771]
Adrian Moat,[170039]
Adrian Pasdar,[182799]
Adrian Pennick,[31869]
Adrian Picardi,[382088]
Adrian Popovici,[46734]
Adrian Powers,[215814]
Adrian Rudomin,[16432]
Adrian Shergold,"[65579, 15185, 13949, 39517, 116554]"
Adrian Tanner,[416086]
Adrian Vitoria,"[38540, 14575]"
Adrian Voicu,[378477]
Adrian Țofei,[328216]
Adriana Barbaro,[65435]
Adriana Dimitrescu,[224089]
Adriana Maggs,[44988]
Adriana Trigiani,[353378]
Adriano Celentano,"[50189, 60810]"
Adrienne Shelly,"[106129, 10758, 106131]"
Adrià García,[26700]
Adrián Biniez,[39488]
Adrián Caetano,"[25532, 125948, 49913, 127471]"
Adrián Cardona,"[167956, 109477, 319396]"
Adrián García Bogliano,"[123359, 87436, 254193, 82999, 333318]"
Adriënne Wurpel,[297956]
Afia Nathaniel,[287594]
Afonso Poyart,"[102784, 339527]"
Agathiyan,[69423]
Agenore Incrocci,[82114]
Agnieszka Holland,"[36834, 11236, 45019, 36773, 47493, 8996, 125842, 1590, 124096, 73686, 267795, 42983, 42032, 432799]"
Agnieszka Lukasiak,[74312]
Agnieszka Smoczynska,[375742]
Agnieszka Wojtowicz-Vosloo,[36419]
Agnès Jaoui,"[10697, 11399, 15436, 160564]"
Agnès Merlet,"[39177, 15741]"
Agnès Obadia,[199661]
Agnès Varda,"[53023, 44018, 499, 44379, 238952, 94771, 38879, 54436, 63318, 84026, 36140, 63320]"
Agustin,"[92286, 322850]"
Agustí Vila,[83345]
Agustí Villaronga,"[46767, 57521, 350846]"
Agustín Díaz Yanes,"[38874, 74840, 13495, 32695]"
Aharon Keshales,"[171540, 193726, 74586]"
Ahmad Abdalla,"[81435, 215520]"
Ahmed Ahmed,[159186]
Ahmed El Maanouni,[215407]
Ahmed Imamović,[118658]
Ahmed Khan,[156288]
Ahmet Uluçay,[103785]
Ahn Byeong-ki,"[32242, 32152, 32173]"
Ahn Gooc-Jin,[347697]
Ahn Sang-Hoon,[79374]
Ahn Sang-hyeon,[25651]
Ai Lene Chor,[429876]
Aida Begić,[126732]
Aida Zyablikova,[448879]
Aigars Grauba,"[144331, 195834]"
Aik Karapetian,[277686]
Aileen Ritchie,[73642]
Aimee Lagos,[89326]
Ain Mäeots,[322476]
Aisling Walsh,"[8985, 359305, 37196, 49890, 359784]"
Aitor Merino,[234155]
Aivars Freimanis,[247749]
Aiyana Elliott,[161687]
Ajay Bahl,[222951]
Ajmal Zaheer Ahmad,[52653]
Akan Satayev,"[78464, 136741, 413052, 76438, 62787]"
Aki Kaurismäki,"[2, 7294, 11475, 7975, 30366, 58416, 8214, 55257, 7974, 59388, 28212, 1379, 23676, 3, 36108, 148482, 8749, 60375, 73532, 8985, 74295, 184002, 300544, 429199]"
Akihiko Shiota,"[89800, 104465, 16221, 292264, 408270]"
Akim Isker,[71191]
Akinori Nagaoka,[128396]
Akio Jissoji,[47408]
Akio Sakai,[14088]
Akio Yoshida,[76822]
Akira Daikuhara,[63486]
Akira Hirose,[80647]
Akira Inoue,[54273]
Akira Kurosawa,"[11645, 346, 11712, 11878, 11953, 9764, 13889, 548, 3780, 12516, 20645, 3782, 3777, 25858, 30368, 1059, 12493, 24774, 26893, 32690, 31589, 33205, 45967, 37513, 21490, 43487, 35022, 45965, 36916, 17988]"
Akira Miwa,"[22701, 38281, 113154]"
Akira Nagai,[390930]
Akira Takada,[25843]
Akitarô Daichi,[87636]
Akiva Goldsman,[137321]
Akiva Schaffer,"[10074, 80035, 341012, 430780]"
Akiyuki Shinbo,"[152042, 212162, 152044, 357786, 20089, 362584, 362585]"
Aksel Hennie,[18508]
Akseli Tuomivaara,[278329]
Aksinya Gog,[424145]
Aktan Arym Kubat,"[58859, 84023]"
Aku Louhimies,"[20160, 18279, 167928, 54669, 21245, 114172, 161056, 68189]"
Akçay Karaazmak,[215976]
Al Adamson,"[122677, 29416, 60087, 29420, 29419, 81937, 3125, 42477, 82667, 37042]"
Al Campbell,[240634]
Al Corley,[51177]
Al Pacino,"[42314, 49511, 217919]"
Al Reinert,"[20423, 173192]"
Al Szymanski,[54685]
Al Waxman,[430985]
Alain Berbérian,"[15097, 39386, 62134, 18457]"
Alain Berliner,"[27103, 19214, 273279]"
Alain Cavalier,"[63212, 137859]"
Alain Chabat,"[2899, 37652, 102207, 21778]"
Alain Corneau,"[41804, 31076, 48336, 53404, 64349, 162821, 4274, 37455, 246049]"
Alain Darborg,[308160]
Alain Desrochers,"[16143, 417489, 460846]"
Alain Fresnot,[161244]
Alain Gagnol,"[52264, 356161]"
Alain Gomis,"[110381, 436340]"
Alain Gsponer,[235044]
Alain Guiraudie,"[43616, 104505, 186992, 380622]"
Alain Jessua,"[3118, 67657, 5601, 4182]"
Alain Margot,[271717]
Alain Monne,[52628]
Alain Resnais,"[61560, 39543, 4024, 2817, 5544, 4781, 803, 54140, 51945, 24170, 59847, 60623, 54563, 63978, 37842, 37927, 4798, 61296, 63172, 103717, 109364, 15377, 46983]"
Alain Robak,[40258]
Alain Robbe-Grillet,"[90908, 28642, 78071, 104338, 104239]"
Alain Tanner,"[42237, 101330, 62978]"
Alain Tasma,[246422]
Alain Zaloum,[265966]
Alan Alda,"[18913, 25113, 66600]"
Alan Ari Lazar,[71010]
Alan Arkin,[27459]
Alan Badoev,[163042]
Alan Ball,[10190]
Alan Barillaro,[399106]
Alan Berliner,[132887]
Alan Bridges,"[80382, 198491]"
Alan Brown,"[287811, 120515, 103516, 142115]"
Alan Bunce,[35927]
Alan C. Blomquist,[23077]
Alan Clarke,"[31858, 25476, 18125, 307114, 270081, 311417, 327655, 37055]"
Alan Cohn,[14557]
Alan Cooke,[119575]
Alan Crosland,"[939, 104433, 89059, 144475, 32683, 122331]"
Alan Cumming,"[26475, 51428]"
Alan Deutsch,[110553]
Alan G. Parker,"[49360, 138394]"
Alan Gibson,"[35669, 33020, 126031, 69058, 93862]"
Alan Grint,[46975]
Alan Hicks,[259999]
Alan Holleb,"[77850, 85968]"
Alan Holly,[307696]
Alan Hruska,[112961]
Alan J. Levi,[162042]
